datetimestamp,gameid,x_cord,y_cord,points,direction,speed
2019-01-31 03:10:21,74,67,43,432,98,7
2019-11-12 18:40:25,63,79,65,25,176,4
2019-12-14 15:15:06,26,91,80,752,230,4
2019-07-18 21:52:05,34,55,87,326,116,0
2019-08-08 16:47:07,24,61,21,173,238,2
2019-12-13 07:56:20,43,85,63,403,189,9
2019-06-04 02:02:55,63,33,72,95,163,3
2019-04-09 05:01:04,33,53,61,971,346,4
2019-07-15 13:26:32,7,66,98,310,185,4
2019-02-25 10:25:32,34,80,40,324,184,9
2019-03-26 07:15:16,41,76,28,740,27,5
2019-07-12 19:06:13,58,23,93,483,252,4
2019-03-22 18:00:43,7,84,79,144,279,2
2019-05-30 15:26:49,39,45,84,245,160,4
2019-09-23 00:16:46,68,66,80,596,198,1
2019-09-02 08:30:56,60,60,90,156,160,6
2019-08-24 11:44:57,0,57,95,573,195,6
2019-01-09 04:00:23,29,15,97,868,207,1
2019-12-11 03:05:06,83,54,91,846,276,5
2019-04-02 11:02:28,14,46,83,795,30,6
2019-09-29 04:06:20,27,77,70,757,162,2
2019-04-25 13:21:14,43,72,86,224,354,6
2019-12-15 09:15:30,43,53,85,494,146,1
2019-06-08 15:48:37,29,52,79,739,60,6
2019-06-26 14:15:27,25,19,68,770,314,1
2019-04-27 16:27:14,25,29,39,975,225,6
2019-04-04 23:20:50,26,47,75,727,251,0
2019-05-19 22:36:10,75,72,43,323,82,1
2019-01-16 15:49:55,13,40,24,437,151,4
2019-04-25 10:46:24,48,42,80,942,229,1
2019-07-27 22:59:31,55,59,59,248,312,3
2019-05-12 14:37:45,80,31,53,716,200,3
2019-08-26 11:54:55,61,88,59,620,245,5
2019-11-19 18:52:44,86,76,91,302,240,0
2019-03-10 06:36:31,81,62,29,524,77,7
2019-03-11 06:15:34,79,49,74,663,262,1
2019-07-04 20:18:58,43,69,66,912,244,4
2019-02-14 07:40:19,66,37,59,147,267,2
2019-10-03 04:06:44,80,11,85,82,1,3
2019-10-06 08:41:37,9,25,16,332,77,9
2019-07-26 12:45:55,85,64,89,606,195,1
2019-03-07 01:31:19,78,64,44,217,298,4
2019-06-20 02:16:10,61,70,13,958,290,2
2019-09-17 06:47:47,73,38,71,593,177,5
2019-11-04 20:11:43,23,79,95,833,109,8
2019-08-27 10:18:53,85,88,92,681,159,3
2019-09-04 22:27:08,65,67,73,913,297,5
2019-11-23 18:54:36,45,77,41,703,355,3
2019-05-03 07:28:59,7,35,67,320,195,1
2019-08-15 02:20:24,10,54,34,368,244,7
2019-02-18 00:34:08,66,77,73,115,17,4
2019-01-02 11:37:25,30,24,61,219,37,0
2019-07-16 14:29:40,35,71,67,620,308,1
2019-10-07 12:41:24,96,85,67,803,73,7
